Pairwise relative MSE table (horizon=1):

            HAR    HAR-X   LogHAR   LevHAR     SHAR     HARQ       RR       LA       EN     A-LA     P-LA       BG       RF       GB     NN11    NN101   NN12    NN102     NN13    NN103     NN14    NN104
HAR           –  (0.945)    1.000    0.980    0.991    0.999  (0.944)  [0.934]  [0.934]  (0.940)  [0.932]    1.034    1.002    1.002  (0.935)  [0.916]  1.286    0.982    0.971    0.961    1.023    0.988
HAR-X     1.058        –    1.058    1.037    1.049    1.057  (0.999)    0.988    0.988    0.995    0.986    1.094    1.061    1.061    0.990    0.969  1.361    1.039    1.027    1.017    1.083    1.045
LogHAR    1.000   0.945*        –    0.980    0.991    0.999   0.944*  (0.934)  [0.934]   0.940*  (0.932)    1.034    1.002    1.002  (0.936)  [0.916]  1.286    0.982    0.971    0.961    1.023    0.988
LevHAR    1.020    0.964    1.020        –    1.011    1.019    0.963   0.953*   0.952*   0.959*  (0.951)    1.055    1.023    1.023   0.954*  (0.935)  1.312    1.002    0.990    0.980    1.044    1.008
SHAR      1.009   0.954*    1.009    0.989        –    1.008   0.952*  [0.943]  [0.942]  (0.949)  (0.941)    1.044    1.012    1.011  (0.944)  [0.924]  1.298    0.991    0.980    0.970    1.033    0.997
HARQ      1.001  (0.946)    1.001    0.981    0.992        –  (0.945)  [0.935]  [0.935]  (0.941)  [0.933]    1.035    1.004    1.003  (0.937)  [0.917]  1.288    0.983    0.972    0.962    1.025    0.989
RR        1.060    1.001    1.060    1.039    1.050    1.058        –    0.990    0.989    0.996    0.988    1.096    1.062    1.062    0.991    0.971  1.363    1.040    1.029    1.018    1.084    1.046
LA        1.071    1.012    1.071    1.049    1.061    1.069    1.010        –    0.999    1.007    0.998    1.107    1.073    1.073    1.001    0.981  1.377    1.051    1.039    1.029    1.095    1.057
EN        1.071    1.012    1.071    1.050    1.062    1.070    1.011    1.001        –    1.007    0.998    1.108    1.074    1.074    1.002    0.981  1.378    1.052    1.040    1.029    1.096    1.058
A-LA      1.064    1.005    1.064    1.042    1.054    1.062    1.004    0.994    0.993        –    0.991    1.100    1.066    1.066    0.995    0.974  1.368    1.044    1.033    1.022    1.088    1.050
P-LA      1.073    1.014    1.073    1.052    1.063    1.072    1.013    1.002    1.002    1.009        –    1.110    1.076    1.075    1.004    0.983  1.380    1.053    1.042    1.031    1.098    1.059
BG        0.967  [0.914]    0.967    0.948    0.958    0.966  [0.913]  [0.903]  [0.903]  [0.909]  [0.901]        –  (0.969)    0.969  [0.905]  [0.886]  1.244    0.949  (0.939)  (0.929)    0.989    0.955
RF        0.998   0.943*    0.998    0.978    0.989    0.996   0.941*  (0.932)  (0.931)  (0.938)  (0.930)    1.032        –    1.000  (0.933)  (0.914)  1.283    0.979    0.968   0.958*    1.021    0.985
GB        0.998  (0.943)    0.998    0.978    0.989    0.997  (0.942)  [0.932]  [0.931]  (0.938)  [0.930]    1.032    1.000        –  (0.933)  [0.914]  1.283    0.980    0.969    0.959    1.021    0.985
NN11      1.069    1.010    1.069    1.048    1.059    1.068    1.009    0.999    0.998    1.005    0.996    1.105    1.072    1.071        –    0.979  1.375    1.050    1.038    1.027    1.094    1.056
NN101     1.092    1.032    1.092    1.070    1.082    1.090    1.030    1.020    1.019    1.026    1.018    1.129    1.094    1.094    1.021        –  1.404    1.072    1.060    1.049    1.117    1.078
NN12    (0.777)  (0.735)  (0.777)  (0.762)  (0.770)  (0.776)  (0.734)  [0.726]  [0.726]  (0.731)  [0.725]  (0.804)  (0.779)  (0.779)  [0.727]  [0.712]      –  [0.763]  (0.755)  (0.747)  (0.796)  [0.768]
NN102     1.018    0.962    1.018    0.998    1.009    1.017    0.961   0.951*   0.951*    0.958   0.949*    1.053    1.021    1.021  (0.953)  (0.933)  1.310        –    0.989    0.979    1.042    1.006
NN13      1.030    0.973    1.030    1.010    1.021    1.029    0.972    0.962    0.962    0.968    0.960    1.065    1.033    1.032    0.964   0.944*  1.325    1.011        –    0.990    1.054    1.017
NN103     1.041    0.984    1.041    1.020    1.031    1.039    0.982    0.972    0.972    0.979    0.970    1.076    1.043    1.043    0.974   0.953*  1.339    1.022    1.010        –    1.065    1.028
NN14      0.977    0.924    0.977    0.958    0.968    0.976    0.922   0.913*   0.912*   0.919*   0.911*    1.011    0.980    0.979   0.914*   0.895*  1.257    0.960    0.949    0.939        –    0.965
NN104     1.013    0.957    1.013    0.993    1.003    1.011    0.956   0.946*   0.945*    0.952   0.944*    1.047    1.015    1.015   0.947*  (0.928)  1.302    0.994    0.983    0.973    1.036        –
