Pairwise relative MSE table (horizon=22):

            HAR    HAR-X   LogHAR   LevHAR     SHAR     HARQ       RR       LA       EN     A-LA     P-LA     BG       RF       GB     NN11    NN101     NN12    NN102     NN13    NN103     NN14    NN104
HAR           –    1.020    0.984    1.004    0.997    1.016    1.020    1.018    1.018    1.003    1.019  1.631    1.351    1.181    0.955    0.947    0.989    0.963    1.007    0.981    1.015    0.989
HAR-X    0.981*        –    0.965    0.984   0.978*    0.997    1.000    0.999    0.999    0.984    0.999  1.599    1.325    1.158    0.937    0.929    0.970    0.945    0.987    0.962    0.995    0.970
LogHAR    1.016    1.036        –    1.020    1.013    1.033    1.036    1.035    1.035    1.020    1.036  1.657    1.373    1.200    0.971    0.962    1.005    0.979    1.023    0.997    1.031    1.005
LevHAR    0.996    1.016    0.981        –    0.994    1.013    1.016    1.015    1.015    1.000    1.015  1.625    1.346    1.177    0.952    0.944    0.985    0.960    1.003    0.978    1.011    0.986
SHAR      1.003    1.023    0.987    1.007        –    1.019    1.023    1.021    1.021    1.006    1.022  1.635    1.355    1.185    0.958    0.950    0.992    0.966    1.010    0.984    1.018    0.992
HARQ     0.984*    1.003    0.968    0.987   0.981*        –    1.003    1.002    1.002    0.987    1.003  1.604    1.329    1.162    0.940    0.932    0.973    0.948    0.990    0.965    0.999    0.973
RR       0.981*    1.000    0.965    0.984   0.978*    0.997        –    0.999    0.999    0.984    0.999  1.599    1.325    1.158    0.937    0.929    0.970    0.945    0.987    0.962    0.995    0.970
LA       0.982*    1.001    0.967    0.986   0.979*    0.998    1.001        –    1.000    0.986    1.001  1.602    1.327    1.160    0.938    0.930    0.971    0.946    0.989    0.964    0.997    0.972
EN       0.982*    1.001    0.966    0.985   0.979*    0.998    1.001    1.000        –    0.985    1.001  1.601    1.326    1.160    0.938    0.930    0.971    0.946    0.988    0.963    0.997    0.971
A-LA    [0.997]    1.016    0.981    1.000  (0.994)    1.013    1.016    1.015    1.015        –    1.016  1.625    1.346    1.177    0.952    0.944    0.985    0.960    1.003    0.978    1.011    0.986
P-LA     0.981*    1.001    0.966    0.985   0.978*    0.997    1.001    0.999    0.999    0.985        –  1.600    1.325    1.159    0.937    0.929    0.970    0.945    0.988    0.963    0.996    0.971
BG      [0.613]  [0.625]  [0.603]  [0.615]  [0.611]  [0.623]  [0.625]  [0.624]  [0.625]  [0.615]  [0.625]      –  (0.828)  (0.724)  (0.586)  (0.581)  (0.606)  (0.591)  (0.617)  (0.602)  (0.622)  (0.607)
RF      (0.740)  (0.755)  [0.729]  (0.743)  (0.738)  (0.753)  (0.755)  (0.754)  (0.754)  (0.743)  (0.754)  1.207        –   0.874*  (0.707)  (0.701)  (0.732)  (0.713)   0.745*  (0.727)   0.751*   0.732*
GB      (0.847)  (0.863)  [0.833]  (0.850)  (0.844)  (0.861)  (0.863)  (0.862)  (0.862)  (0.850)  (0.863)  1.381    1.144        –   0.809*   0.802*    0.837   0.816*    0.852    0.831    0.859    0.838
NN11      1.047    1.067    1.030    1.051    1.044    1.064    1.067    1.066    1.066    1.051    1.067  1.707    1.414    1.237        –  [0.991]    1.035    1.009    1.054    1.027    1.063    1.036
NN101     1.056    1.077    1.039    1.060    1.053    1.073    1.077    1.075    1.075    1.060    1.076  1.722    1.426    1.247    1.009        –    1.044    1.017    1.063    1.036    1.072    1.045
NN12      1.012    1.031    0.995    1.015    1.009    1.028    1.031    1.030    1.030    1.015    1.031  1.650    1.366    1.195  [0.966]  [0.958]        –  [0.975]    1.018    0.993    1.027    1.001
NN102     1.038    1.058    1.021    1.042    1.035    1.055    1.058    1.057    1.057    1.041    1.058  1.692    1.402    1.226    0.991  (0.983)    1.026        –    1.045    1.018    1.053    1.027
NN13      0.993    1.013    0.978    0.997    0.991    1.010    1.013    1.011    1.012    0.997    1.012  1.620    1.342    1.173  [0.949]  [0.941]  (0.982)  [0.957]        –  [0.975]    1.008  [0.983]
NN103     1.019    1.039    1.003    1.023    1.016    1.036    1.039    1.038    1.038    1.023    1.038  1.662    1.376    1.204  (0.973)  (0.965)    1.007  [0.982]    1.026        –    1.034    1.008
NN14      0.985    1.005    0.970    0.989    0.982    1.001    1.005    1.003    1.004    0.989    1.004  1.607    1.331    1.164  [0.941]  [0.933]  [0.974]  [0.949]  [0.992]  [0.967]        –  [0.975]
NN104     1.011    1.031    0.995    1.014    1.008    1.027    1.031    1.029    1.029    1.014    1.030  1.648    1.365    1.194  (0.965)  [0.957]    0.999  [0.974]    1.017  [0.992]    1.026        –
