Pairwise relative MSE table (horizon=5):

            HAR    HAR-X   LogHAR   LevHAR     SHAR     HARQ       RR       LA       EN     A-LA     P-LA      BG      RF       GB     NN11    NN101     NN12    NN102     NN13    NN103     NN14  NN104
HAR           –    1.011    0.977    0.998    1.025    1.002    0.996    0.998    0.997    0.993    0.996   1.137   1.137    1.053    1.122    1.176    1.236    1.242    1.293    1.282    1.308  1.322
HAR-X     0.989        –    0.966    0.987    1.014    0.991   0.985*    0.987    0.985   0.982*   0.984*   1.124   1.124    1.041    1.110    1.163    1.222    1.229    1.279    1.267    1.293  1.307
LogHAR    1.024    1.035        –    1.022    1.049    1.026    1.020    1.022    1.020    1.017    1.019   1.164   1.164    1.078    1.149    1.204    1.265    1.272    1.324    1.312    1.339  1.353
LevHAR    1.002    1.013    0.979        –    1.027    1.004    0.998    1.000    0.998    0.995    0.998   1.139   1.139    1.055    1.124    1.178    1.238    1.245    1.296    1.284    1.311  1.324
SHAR     0.975*    0.987   0.953*   0.974*        –   0.978*    0.972    0.974    0.972    0.969    0.971   1.109   1.109    1.027    1.095    1.147    1.205    1.212    1.262    1.250    1.276  1.289
HARQ     0.998*    1.009    0.975    0.996    1.023        –    0.994    0.996    0.994    0.991    0.993   1.135   1.134    1.051    1.120    1.173    1.233    1.240    1.290    1.279    1.305  1.319
RR        1.004    1.015    0.981    1.002    1.029    1.006        –    1.002    1.000    0.997    0.999   1.142   1.141    1.057    1.127    1.181    1.240    1.247    1.298    1.287    1.313  1.327
LA        1.002    1.013    0.979    1.000    1.027    1.004    0.998        –    0.998    0.995    0.997   1.139   1.139    1.055    1.124    1.178    1.238    1.245    1.296    1.284    1.310  1.324
EN        1.003    1.015    0.980    1.002    1.029    1.006    1.000    1.002        –    0.997    0.999   1.141   1.141    1.057    1.126    1.180    1.240    1.247    1.298    1.286    1.313  1.326
A-LA      1.007    1.018    0.983    1.005    1.032    1.009    1.003    1.005    1.003        –    1.002   1.145   1.144    1.060    1.130    1.184    1.244    1.251    1.302    1.290    1.317  1.331
P-LA      1.004    1.016    0.981    1.002    1.030    1.007    1.001    1.003    1.001    0.998        –   1.142   1.142    1.058    1.127    1.181    1.241    1.248    1.299    1.287    1.314  1.328
BG      (0.879)  (0.889)  [0.859]  (0.878)   0.902*  (0.881)  (0.876)  (0.878)  (0.876)  (0.874)  (0.876)       –   1.000  (0.926)    0.987    1.034    1.087    1.093    1.137    1.127    1.150  1.163
RF      (0.880)  (0.890)  [0.859]  (0.878)  (0.902)  (0.882)  [0.876]  (0.878)  (0.877)  (0.874)  (0.876)   1.000       –  [0.926]    0.987    1.035    1.087    1.093    1.138    1.127    1.151  1.163
GB        0.950    0.960  (0.928)    0.948    0.974    0.952    0.946    0.948    0.946    0.943    0.945   1.080   1.079        –    1.066    1.117    1.173    1.180    1.228    1.217    1.242  1.255
NN11      0.891    0.901   0.870*    0.889    0.913    0.893   0.888*   0.889*   0.888*   0.885*    0.887   1.013   1.013    0.938        –    1.048    1.101    1.107    1.152    1.142    1.166  1.178
NN101   (0.850)   0.860*  (0.831)  (0.849)   0.872*  (0.852)  (0.847)  (0.849)  (0.847)  (0.845)  (0.847)   0.967   0.967    0.895  [0.954]        –    1.051    1.056    1.100    1.090    1.112  1.124
NN12    (0.809)  (0.818)  [0.791]  (0.808)  (0.830)  (0.811)  (0.806)  [0.808]  [0.806]  (0.804)  (0.806)   0.920   0.920   0.852*  [0.908]  [0.952]        –    1.005    1.047    1.037    1.059  1.070
NN102   (0.805)  (0.814)  [0.786]  (0.803)  (0.825)  (0.807)  (0.802)  [0.803]  [0.802]  (0.799)  (0.801)   0.915   0.915   0.848*  [0.903]  [0.947]  [0.995]        –    1.041    1.032    1.053  1.064
NN13    [0.773]  (0.782)  [0.755]  [0.772]  (0.793)  [0.775]  [0.770]  [0.772]  [0.771]  [0.768]  [0.770]   0.879   0.879  (0.814)  [0.868]  [0.909]  [0.955]  [0.961]        –  [0.991]    1.011  1.022
NN103   [0.780]  (0.789)  [0.762]  [0.779]  (0.800)  [0.782]  [0.777]  [0.779]  [0.778]  [0.775]  (0.777)   0.887   0.887  (0.822)  [0.876]  [0.918]  [0.964]  [0.969]    1.009        –    1.021  1.031
NN14    [0.764]  (0.773)  [0.747]  [0.763]  (0.784)  [0.766]  [0.762]  [0.763]  [0.762]  [0.759]  [0.761]   0.869  0.869*  (0.805)  [0.858]  [0.899]  [0.945]  [0.950]  [0.989]  [0.980]        –  1.011
NN104   [0.756]  [0.765]  [0.739]  [0.755]  [0.776]  [0.758]  [0.754]  [0.755]  [0.754]  [0.751]  [0.753]  0.860*  0.860*  (0.797)  [0.849]  [0.890]  [0.935]  [0.940]  [0.978]  [0.970]  [0.989]      –
